type,time,year,month,date,breau,station,lat,lon
汽車竊盜,1060626,106,6,26,楊梅分局,新屋所,24.9844923,121.1094278
汽車竊盜,1060626,106,6,26,大園分局,新坡所,NA,NA
汽車竊盜,1060625,106,6,25,楊梅分局,楊梅所,24.9374587,121.1428692
汽車竊盜,1060623,106,6,23,平鎮分局,北勢所,24.9403508,121.2187712
汽車竊盜,1060623,106,6,23,龜山分局,大華所,25.0510817,121.3636367
汽車竊盜,1060620,106,6,20,楊梅分局,楊梅所,24.903438,121.127201
汽車竊盜,1060620,106,6,20,桃園分局,大樹所,24.9845663,121.3128774
汽車竊盜,1060618,106,6,18,龍潭分局,石門所,24.8386295,121.2341451
汽車竊盜,1060617,106,6,17,龍潭分局,聖亭所,24.8834369,121.211422
汽車竊盜,1060617,106,6,17,中壢分局,普仁所,24.9506092,121.2371469
汽車竊盜,1060613,106,6,13,平鎮分局,北勢所,24.947511,121.217197
汽車竊盜,1060612,106,6,12,中壢分局,普仁所,24.9438941,121.247631
汽車竊盜,1060612,106,6,12,大園分局,草漯所,25.0498546,121.1172268
汽車竊盜,1060609,106,6,9,龍潭分局,中興所,24.8671686,121.2310062
汽車竊盜,1060608,106,6,8,大溪分局,圳頂所,24.8974614,121.2760056
汽車竊盜,1060607,106,6,7,楊梅分局,楊梅所,24.8962875,121.1382351
汽車竊盜,1060607,106,6,7,平鎮分局,宋屋所,24.9483437,121.2102846
汽車竊盜,1060606,106,6,6,中壢分局,龍興所,24.9381149,121.23147
汽車竊盜,1060606,106,6,6,中壢分局,仁愛所,24.94314,121.2499464
汽車竊盜,1060605,106,6,5,平鎮分局,建安所,24.9270682,121.2219991
汽車竊盜,1060604,106,6,4,楊梅分局,草湳所,24.9119905,121.177822
汽車竊盜,1060604,106,6,4,蘆竹分局,外社所,25.1154269,121.2605583
汽車竊盜,1060603,106,6,3,大溪分局,圳頂所,24.8964762,121.2782291
汽車竊盜,1060603,106,6,3,大溪分局,圳頂所,24.9219061,121.2936659
