學號,性別,學籍班(簡稱),入學年,入學月,入學身分,入學方式,名額區分,部別,學制,系科,通訊郵遞區號,戶籍郵遞區號,畢業方式,畢業年月,畢業學校,畢業科系,是否新住民二代
10715***,女,日創設107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制生活創意設計系,401,401,畢業,10706,私立明德高中,美容科,否
10715***,男,日創設107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制生活創意設計系,401,401,畢業,10706,私立明德高中,美容科,否
10715***,男,日創設107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制生活創意設計系,432,432,畢業,10706,私立明德高中,美容科,否
10715***,女,日創設107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制生活創意設計系,360,360,畢業,10706,國立苗栗農工,家政科,否
10715***,女,日創設107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制生活創意設計系,404,404,畢業,10706,私立僑泰高中,美容科,否
10715***,女,日創設107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制生活創意設計系,437,437,畢業,10706,國立大甲高中,美工,否
10715***,女,日創設107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制生活創意設計系,437,437,畢業,10706,國立大甲高中,美工,否
10715***,女,日創設107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制生活創意設計系,300,300,畢業,10706,私立光復高中,廣告設計,否
10715***,女,日創設107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制生活創意設計系,403,403,畢業,10606,私立新民高中,多媒體製作,否
10715***,男,日創設107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制生活創意設計系,264,264,畢業,10706,國立宜蘭高商,多媒體設計科,否
10715***,男,日創設107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制生活創意設計系,238,238,畢業,10706,市立鶯歌工商,美術工藝科,否
10715***,女,日創設107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制生活創意設計系,403,807,畢業,10706,市立三民家商,室內設計科,否
10715***,女,日創設107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制生活創意設計系,402,402,畢業,10706,私立明德高中,廣告設計科,否
10715***,女,日創設107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制生活創意設計系,412,412,畢業,10706,私立明道高中,美工科,否
10715***,女,日創設107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制生活創意設計系,813,813,畢業,10706,市立海青工商,美工科,否
10715***,女,日創設107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制生活創意設計系,428,428,畢業,10706,市立東勢高工,室內空間設計科,否
10715***,女,日創設107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制生活創意設計系,420,420,畢業,10706,市立東勢高工,室內空間設計科,否
10715***,女,日創設107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制生活創意設計系,406,406,畢業,10706,私立嶺東高中,多媒體設計科,否
10715***,男,日多遊107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,526,526,畢業,10706,國立二林工商,資料處理科,否
10715***,男,日多遊107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,732,732,畢業,10706,國立新營高工,資訊科,否
10715***,男,日多遊107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,412,412,畢業,10706,私立明道高中,資訊科,否
10715***,男,日多遊107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,407,407,畢業,10706,市立東勢高工,資訊科,否
10715***,女,日多遊107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,428,428,畢業,10706,市立大甲高工,資訊科,否
10715***,女,日多遊107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,412,412,畢業,10706,私立僑泰高中,廣告設計科,否
10715***,女,日多遊107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,428,428,畢業,10706,私立嶺東高中,多媒體設計科,否
10715***,女,日多遊107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,411,411,畢業,10706,財團法人光華高工,室內空間設計科,否
10715***,女,日多遊107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,427,427,畢業,10706,市立東勢高工,室內空間設計科,否
10715***,女,日多遊107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,406,406,畢業,10706,私立大明高中,美工科,否
10715***,女,日多遊107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,412,412,畢業,10706,私立明道高中,美工科,否
10715***,女,日多遊107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,412,412,畢業,10706,私立大明高中,廣告設計科,否
10715***,女,日多遊107孝,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,211,211,肄業,10706,市立松山家商,廣告設計科,否
10715***,女,日多遊107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,555,555,畢業,10706,市立豐原高商,國際貿易科,否
10715***,女,日多遊107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,406,406,畢業,10706,市立豐原高商,國際貿易科,否
10715***,男,日多遊107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,528,528,畢業,10706,國立二林工商,電子科,否
10715***,男,日多遊107忠,107,8,一般生,聯合分發,內含,日間部,日間部大學部四年制,日間部大學部四年制多媒體與遊戲設計系,403,403,畢業,10706,私立嶺東高中,電子科,否
