學期,學號,取得學分,操行,班排百分比,就學現況,入學身分,入學方式,畢業方式,身心狀況,原住民,新住民,新住民(國籍),入學年,名單中
107-1,10611***,11,85,0.965517241,新生,一般生,甄選入學,一般,正常,無,無,,106,一般生
107-1,10615***,25,95,0.482758621,新生,一般生,聯合分發,一般,正常,無,無,,106,一般生
107-1,10711***,24,85,0.016949153,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,85,0.033898305,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,24,88,0.084745763,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,23,88,0.101694915,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,85,0.118644068,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,84,0.13559322,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,24,84,0.152542373,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,23,84,0.186440678,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,83,0.203389831,新生,一般生,繁星入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,89,0.220338983,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,24,83,0.237288136,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,85,0.271186441,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,86,0.288135593,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,21,85,0.305084746,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,85,0.322033898,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,85,0.338983051,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,21,85,0.355932203,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,84,0.372881356,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,87,0.389830508,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,84,0.406779661,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,85,0.440677966,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,91,0.457627119,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,82,0.474576271,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,21,84,0.491525424,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,21,86,0.508474576,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,24,83,0.525423729,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,19,85,0.559322034,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,87,0.593220339,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,24,85,0.610169492,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,22,85,0.627118644,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,83,0.644067797,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,24,87,0.677966102,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,85,0.694915254,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,22,85,0.711864407,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,22,85,0.728813559,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,20,85,0.745762712,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,83,0.762711864,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,19,86,0.779661017,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,20,85,0.813559322,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,20,87,0.847457627,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,19,83,0.86440678,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,17,85,0.881355932,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,20,85,0.915254237,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,24,82,0.018867925,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,24,82,0.037735849,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,23,94,0.056603774,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,86,0.075471698,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.094339623,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,24,85,0.132075472,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,24,82,0.150943396,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,21,82,0.169811321,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.20754717,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,24,83,0.226415094,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,93,0.245283019,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,88,0.264150943,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.283018868,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.320754717,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,24,82,0.339622642,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,23,85,0.358490566,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.377358491,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.396226415,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.41509434,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,22,82,0.433962264,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.452830189,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,21,82,0.471698113,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.490566038,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.509433962,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.528301887,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,21,82,0.547169811,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.547169811,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.547169811,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,88,0.622641509,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.641509434,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,90,0.660377358,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.679245283,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,21,82,0.716981132,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,85,0.735849057,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,85,0.754716981,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,19,82,0.773584906,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,82,0.79245283,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,21,82,0.811320755,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,19,82,0.830188679,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10715***,21,82,0.849056604,轉系(科生),一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,21,82,0.867924528,新生,一般生,繁星入學,一般,正常,無,無,,107,一般生
107-1,10711***,19,86,0.886792453,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,19,82,0.905660377,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,19,82,0.924528302,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,21,83,0.962264151,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,19,82,1,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,22,87,0.020833333,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,22,88,0.041666667,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,22,86,0.0625,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,22,88,0.104166667,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,22,85,0.125,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,22,88,0.145833333,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,22,85,0.166666667,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,22,85,0.1875,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,22,85,0.208333333,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
