學號,性別,學籍班(簡稱),入學身分,入學方式,國籍,畢業方式,民族,新住民(國籍),排108-1,排108-2,排109-1,排109-2,排110-1,缺108-1,缺108-2,缺109-1,缺109-2,缺110-1
108197**,女,日多遊108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.035087719,0.185185185,0.218181818,0,0,0,0.194444444,0.222222222
108196**,女,日應英108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.053571429,0.06779661,0.035087719,0,0,0,0,0
108195**,女,日行銷108仁,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.12,0.0625,0.288888889,0,0,0.166666667,0,0
108197**,女,日多遊108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.122807018,0.5,0.363636364,0,0,0.177777778,0.213675214,0.196759259
108196**,女,日餐管108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.15,0.406779661,0.214285714,0,0,0,0,0
108195**,女,日財金108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.152542373,0.118644068,0.322033898,0,0,0.222222222,0,0.194444444
108195**,女,日財金108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.186440678,0.423728814,0.338983051,0,0,0.196759259,0.197222222,0.205128205
108196**,男,日餐管108仁,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.189655172,0.180327869,0.483333333,0,0,0,0,0
108195**,女,日企管108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.224489796,0.244897959,0.183673469,0,0,0,0,0
108195**,男,日財金108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.271186441,0.559322034,0.610169492,0,0,0,0.166666667,0.166666667
108195**,女,日行銷108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.355932203,0.724137931,0.824561404,0,0,0.194444444,0.191358025,0.196180556
108196**,女,日應英108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.37037037,0.84,0.346153846,0,0,0.211111111,0.337962963,0.215277778
108195**,女,日財金108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.389830508,0.593220339,0.983050847,0,0,0.230555556,0.2,0.355902778
108196**,女,日餐管108仁,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.396551724,0.721311475,0.6,0,0,0.203703704,0.205555556,0.216049383
108196**,女,日觀光108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.412698413,0.328125,0.317460317,0,0,0.194444444,0.166666667,0
108196**,女,日餐管108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.416666667,0.542372881,0.642857143,0,0,0.222222222,0.194444444,0.166666667
108196**,女,日餐管108仁,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.431034483,0.31147541,0.383333333,0,0,0.166666667,0,0
108195**,男,日行銷108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.444444444,0.58490566,0.745098039,0,0,0,0,0.194444444
108196**,女,日餐管108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.466666667,0.661016949,0.517857143,0,0,0.166666667,0,0
108196**,男,日餐管108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.509090909,0.526315789,0.589285714,0,0,0.194444444,0.166666667,0.194444444
108196**,女,日應英108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.555555556,0.34,0.173076923,0,0,0.18287037,0.166666667,0.215277778
108195**,女,日行銷108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.559322034,0.775862069,0.666666667,0,0,0.208333333,0.189814815,0.1875
108197**,男,日多遊108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.561403509,0.555555556,0.636363636,0,0,0,0.422222222,0.188271605
108196**,女,日觀光108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.571428571,0.783333333,0.894736842,0,0,0.196581197,0.194444444,0.275793651
108195**,男,日財法108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.603174603,0.491803279,0.466666667,0,0,0.196428571,0.191666667,0
108197**,女,日多遊108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.641509434,0.716981132,0.823529412,0,0,0.197916667,0.197916667,0.217320261
108195**,女,日國貿108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.649122807,0.490566038,0.24,0,0,0.194444444,0.166666667,0
108196**,女,日旅展108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.649122807,0.769230769,0.433962264,0,0,0.185185185,0.166666667,0.177083333
108195**,女,日國貿108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.666666667,0.245283019,0.18,0,0,0,0.166666667,0
108196**,男,日餐管108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.666666667,0.576271186,0.446428571,0,0,0,0,0
108196**,女,日應英108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.685185185,0.64,0.788461538,0,0,0.194444444,0.222222222,0.388888889
108197**,男,日工設機械108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.692307692,0.58,0.541666667,0,0,0,0,0
108195**,女,日財金108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.711864407,0.966101695,0.93220339,0,0,0.173611111,0.243055556,0.238888889
108197**,男,日多遊108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.719298246,0.907407407,0.781818182,0,0,0.430555556,0.220238095,0.229166667
108196**,男,日餐管108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.727272727,0.98245614,0.642857143,0,0,0.270833333,0.346405229,0.2
108195**,男,日財金108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.727272727,0.653846154,0.836734694,0,0,0.204248366,0.173611111,0.188034188
108196**,女,日觀光108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.73015873,0.8,0.684210526,0,0,0.166666667,0.166666667,0.199074074
108197**,女,日資科108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.759259259,0.875,0.928571429,0,0,0.25,0.277777778,0
108197**,女,日工設機械108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.788461538,0.26,0.583333333,0,0,0.546296296,0.222222222,0.214285714
108196**,男,日觀光108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.793650794,0.75,0.719298246,0,0,0.238888889,0.173611111,0.203703704
108196**,男,日餐管108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.8,0.807017544,1,0,0,0.234848485,0.260416667,0.454248366
108196**,男,日創設108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.811320755,0.711538462,0.509803922,0,0,0.472222222,0.222222222,0.194444444
108195**,男,日行銷108仁,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.82,0.770833333,0.911111111,0,0,0.25,0.214052288,0.241452991
108196**,男,日觀光108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.841269841,0.683333333,0.754385965,0,0,0.263888889,0.243055556,0.197222222
108197**,男,日多遊108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.842105263,0.944444444,0.963636364,0,0,0.28030303,0.307017544,0.237373737
108196**,男,日應英108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.851851852,0.66,0.75,0,0,0.534722222,0.277777778,0.458333333
108197**,男,日多遊108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.867924528,0.754716981,0.941176471,0,0,0.369047619,0.208333333,0.32748538
108195**,男,日財法108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.873015873,0.918032787,0.866666667,0,0,0.222222222,0.208333333,0.242424242
108197**,男,日工設機械108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.884615385,0.94,0.854166667,0,0,0.347222222,0.292328042,0.3
108195**,女,日企管108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.886792453,0.823529412,0.82,0,0,0.407004831,0.300653595,0.352777778
108196**,女,日餐管108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.890909091,0.929824561,0.928571429,0,0,0.2625,0.253623188,0.284722222
108196**,女,日旅展108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.901960784,0.865384615,0.94,0,0,0.238636364,0.197222222,0.212962963
108195**,男,日企管108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.918367347,0.775510204,0.918367347,0,0,0.183333333,0.183333333,0.217592593
108195**,男,日行銷108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.925925926,0.867924528,0.882352941,0,0,0.258333333,0.427777778,0.220899471
108196**,男,日應英108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.925925926,0.94,0.961538462,0,0,0.37745098,0.21875,0.302631579
108195**,女,日財金108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.927272727,0.846153846,0.918367347,0,0,0.303819444,0.227777778,0.266414141
108196**,男,日創設108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.928571429,0.725,0.918918919,0,0,0.607407407,0.219444444,0.285185185
108195**,男,日國貿108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.929824561,0.58490566,0.78,0,0,0.581699346,0.215277778,0.253968254
108195**,女,日行銷108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.93220339,0.982758621,0.894736842,0,0,0.226851852,0.275641026,0.166666667
108196**,男,日餐管108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.933333333,0.898305085,0.964285714,0,0,0.348765432,0.227124183,0.3625
108195**,男,日財法108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.936507937,0.967213115,0.883333333,0,0,0.490079365,0.254901961,0.231481481
108196**,女,日觀光108忠,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.936507937,0.9375,0.888888889,0,0,0.459722222,0.395061728,0.282986111
108195**,女,日企管108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.93877551,0.959183673,0.857142857,0,0,0.295833333,0.263157895,0.346153846
108196**,女,日旅展108孝,一般生,轉學,台灣,畢業,無,無,#N/A,#N/A,0.941176471,0.923076923,0.92,0,0,0.300925926,0.208333333,0.236111111
